situation,thought,action,polarity
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ",I will have to work late .,I decided not to play tennis with my friends .,0
I take my promotion for granted and do not act appreciative . ,I will be looked down on .,I try to be more humble around my boss .,0
I take my promotion for granted and do not act appreciative . ,I will be looked down on .,I try to be more humble .,0
I take my promotion for granted and do not act appreciative . ,I will  be demoted .,I always make sure to thank my boss for any opportunity .,0
I take my promotion for granted and do not act appreciative . ,I will  be demoted .,I try to be more humble .,0
I take my promotion for granted and do not act appreciative . ,I will not get another chance .,I try to be more grateful for everything I have been given .,0
I take my promotion for granted and do not act appreciative . ,I will not get another chance .,I will start looking for a new job .,0
I take my promotion for granted and do not act appreciative . ,I will not get another chance .,I learn to say 'thank you' more often.,0
I take my promotion for granted and do not act appreciative . ,my boss will not give me a raise .,I try to be more grateful for the opportunity .,0
I take my promotion for granted and do not act appreciative . ,my boss will not give me a raise .,I try to be more grateful for what I have been given .,0
My boss asked me to go to work with him today . ,I will be fired .,I decline his offer politely .,0
My boss asked me to go to work with him today . ,I will be fired .,I pretended to be sick .,0
My boss asked me to go to work with him today . ,I may never get a day off .,I asked him if I could go tomorrow instead .,0
My boss asked me to go to work with him today . ,I may never get a day off .,I asked him if I could work from home today.,0
My boss asked me to go to work with him today . ,I may have to do extra work .,I brought my laptop just in case.,0
My boss asked me to go to work with him today . ,I may have to do extra work .,I asked him what the work was about .,0
My boss asked me to go to work with him today . ,I may have to do extra work .,I asked him what the plan is .,0
I take my boss to the library to find a book for him . ,I will  not find the book .,I take a deep breath and ask the librarian  for help.,0
I take my boss to the library to find a book for him . ,I will be fired .,I try to be extra helpful.,0
I take my boss to the library to find a book for him . ,I will be fired .,I try to be as professional as possible.,0
I take my boss to the library to find a book for him . ,I will get lost in the library .,I take a map with me .,0
I take my boss to the library to find a book for him . ,I will get lost in the library .,I ask the librarian for help .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",I will have to work on the weekends .,I need to plan my time wisely .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",I will have to work on the weekends .,I'm practicing my arguments .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",I will have to work even harder with no extra pay .,I stay overtime at work to prove my worth .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",I will have to work even harder with no extra pay .,I decided to turn down his offer .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",I will never get a raise .,I decided to hand in my resignation .,0
"I asked my boss for a raise, and he also asked me to work on the weekends . ",I will never get a raise .,I start to look for a new job .,0
I gave my boss a gift . ,he will think I am kissing up to him .,I was very careful in choosing the gift .,0
I gave my boss a gift . ,he will think I am kissing up to him .,I tried to pick something unique .,0
I gave my boss a gift . ,he will think it's too expensive .,I act casual when I gave it to him .,0
I gave my boss a gift . ,he will think it's too expensive .,I wrapped it in cheaper paper .,0
I gave my boss a gift . ,he would think I was trying to buy his favor .,I wrapped it in white paper .,0
I gave my boss a gift . ,he would think I was trying to buy his favor .,I said 'thank you' and left the room quickly.,0
I gave my boss a gift . ,she will think I am trying to buy my way into a promotion .,I wrapped it in simple brown paper .,0
I gave my boss a gift . ,she will think I am trying to buy my way into a promotion .,I was very careful to select an appropriate and inexpensive gift .,0
